year,customer_id,gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,maximum_daily_mins,weekly_max_night_mins,videos_watched,maximum_days_inactive,customer_support_calls,churn,multi_screen_score,email_marketing_score,subscription_tenure,engagement_score,consistency_score,night_owl_score,churn_risk_score
2020,100198,Female,36,62,no,no,148.35,12.2,16.81,82,1,4,1,0,1,1,0.2551440329218107,0.2819270239452679,0.7257584770969661,0.5527468823727671,0.5660569105691058
2020,100643,Female,39,149,no,no,294.45,7.7,33.37,87,3,3,2,0,1,1,0.6131687242798354,0.5595781071835804,0.2307461792028768,0.2954661232806928,0.4523655076976302
2020,100756,Female,65,126,no,no,87.3,11.9,9.89,91,1,4,5,1,1,1,0.5185185185185185,0.1659064994298745,1.2032355915065722,1.0423825887743414,0.9486680505102923
2020,101595,Female,24,131,no,yes,321.3,9.5,36.41,102,4,3,3,0,1,2,0.5390946502057613,0.6106043329532497,0.2609173304037352,0.3174603174603174,0.4933834976647639
2020,101653,Female,40,191,no,no,243.0,10.9,27.54,83,7,3,1,0,1,1,0.7860082304526749,0.4618015963511972,0.3957879448075526,0.3415637860082304,0.4432624113475178
2020,101953,Female,31,65,no,no,193.65,12.7,21.95,111,6,4,4,1,1,1,0.2674897119341564,0.3680159635119726,0.5785876993166287,0.5731990704879938,0.73484258778758
2020,103051,Female,54,59,no,no,239.25,10.2,27.12,106,4,3,0,0,1,1,0.242798353909465,0.4546750285062713,0.3761061946902654,0.4430512016718913,0.3722755578619617
2020,103225,Female,40,50,no,no,196.65,5.6,22.29,88,9,3,5,1,1,1,0.205761316872428,0.3737172177879133,0.2512337371018395,0.4474955504703788,0.8068024563224356
2020,103408,Male,61,205,no,yes,263.7,7.8,29.89,64,5,3,2,0,1,2,0.8436213991769548,0.5011402508551881,0.2609568417530947,0.2427000379218809,0.4922591247189068
2020,103676,Male,31,63,no,no,316.8,12.3,35.9,58,2,4,0,0,1,1,0.2592592592592592,0.6020524515393386,0.3426183844011142,0.183080808080808,0.2716658017644007
